FID,OBJECTID_1,NOMBRE_ENT,CATEGORIA,DEPARTAMEN,COD_DEPART,COD_MUNICI,AREA_KM,OBSERVACIO,PK_CUE,ACTO_ADMIN,ESCALA_150,ESCALA_200,ESCALA_300,ESCALA_350,ESCALA_400,ESCALA_500,ESCALA_750,ESCALA_100,SHAPE_Leng,SHAPE_Area
585,"4,769.000000000000000",TIPACOQUE,M,BOYACÁ,15,810,72.366164080000004, ,"502,130.000000000000000", ,0,0,0,0,0,0,0,0,0.371278940181000,0.005911780824960
586,"4,770.000000000000000",VALLE DE SAN JOSÉ,M,SANTANDER,68,855,79.864079590000003, ,"502,132.000000000000000", ,0,0,0,0,0,0,0,0,0.356740136035000,0.006526416769630
587,"4,771.000000000000000",GUACAMAYAS,M,BOYACÁ,15,317,57.199935279999998, ,"502,136.000000000000000", ,0,0,0,0,0,0,0,0,0.296261930820000,0.004672294432020
588,"4,772.000000000000000",PANQUEBA,M,BOYACÁ,15,522,40.158646040000001, ,"502,138.000000000000000", ,0,0,0,0,0,0,0,0,0.324320647174000,0.003280117351260
589,"4,773.000000000000000",PÁRAMO,M,SANTANDER,68,533,73.969098180000003, ,"502,140.000000000000000", ,0,0,0,0,0,0,0,0,0.476391020410000,0.006044686920170
590,"4,774.000000000000000",CAICEDO,M,ANTIOQUIA,05,125,194.135331990000000, ,"502,142.000000000000000", ,0,0,0,0,0,0,0,0,0.635951631604000,0.015851043896400
591,"4,775.000000000000000",BARBOSA,M,ANTIOQUIA,05,079,206.133905770000010, ,"502,146.000000000000000", ,0,0,0,0,0,0,0,0,0.717361295039000,0.016842119473500
592,"4,776.000000000000000",SANTA HELENA DEL OPÓN,M,SANTANDER,68,720,374.544497200000020, ,"502,148.000000000000000", ,0,0,0,0,0,0,0,0,0.944807655816000,0.030612280181900
593,"4,777.000000000000000",CALARCÁ,M,QUINDÍO,63,130,218.917841979999990, ,"501,137.000000000000000", ,0,0,0,0,0,0,0,0,0.890263863203000,0.017824277574400
594,"4,778.000000000000000",LA UNIÓN,M,VALLE DEL CAUCA,76,400,120.095204830000000, ,"501,147.000000000000000", ,0,0,0,0,0,0,0,0,0.510609408425000,0.009774262893850
595,"4,779.000000000000000",SOACHA,M,CUNDINAMARCA,25,754,187.486523390000000, ,"501,159.000000000000000", ,0,0,0,0,0,0,0,0,0.898446542339000,0.015278077377200
596,"4,780.000000000000000",QUIMBAYA,M,QUINDÍO,63,594,133.368521700000000, ,"501,169.000000000000000", ,0,0,0,0,0,0,0,0,0.617641238286000,0.010859466468900
597,"4,781.000000000000000",LA CHORRERA,CD,AMAZONAS,91,405,"12,726.928492499999000", ,"501,261.000000000000000", ,0,0,0,0,0,0,0,0,9.105088793000000,1.033583052810000
598,"4,782.000000000000000",SAN PEDRO,M,ANTIOQUIA,05,664,219.708540379999990, ,"502,150.000000000000000", ,0,0,0,0,0,0,0,0,0.780996884465000,0.017948279270400
599,"4,783.000000000000000",SOCORRO,M,SANTANDER,68,755,127.350729220000010, ,"502,152.000000000000000", ,0,0,0,0,0,0,0,0,0.466126313713000,0.010408295162300
600,"4,784.000000000000000",ONZAGA,M,SANTANDER,68,502,489.415357229999980, ,"502,154.000000000000000", ,0,0,0,0,0,0,0,0,1.220691257970000,0.039978934612700
601,"4,785.000000000000000",SAN ROQUE,M,ANTIOQUIA,05,670,426.108097390000010, ,"502,156.000000000000000", ,0,0,0,0,0,0,0,0,1.165859391920000,0.034824191056000
602,"4,786.000000000000000",EL ESPINO,M,BOYACÁ,15,248,69.886715780000003, ,"502,158.000000000000000", ,0,0,0,0,0,0,0,0,0.324363696064000,0.005709092799790
603,"4,787.000000000000000",SANTO DOMINGO,M,ANTIOQUIA,05,690,264.827845360000030, ,"502,160.000000000000000", ,0,0,0,0,0,0,0,0,1.041844368610000,0.021642097573000
604,"4,788.000000000000000",VÉLEZ,M,SANTANDER,68,861,448.813365890000000, ,"502,162.000000000000000", ,0,0,0,0,0,0,0,0,2.129994894380000,0.036670736065700
605,"4,789.000000000000000",CISNEROS,M,ANTIOQUIA,05,190,46.460165859999996, ,"502,175.000000000000000", ,0,0,0,0,0,0,0,0,0.368071998282000,0.003797443498650
606,"4,790.000000000000000",MACARAVITA,M,SANTANDER,68,425,104.277450540000000, ,"502,177.000000000000000", ,0,0,0,0,0,0,0,0,0.487613738845000,0.008519405135560
607,"4,791.000000000000000",CAPITANEJO,M,SANTANDER,68,147,84.042871950000006, ,"502,179.000000000000000", ,0,0,0,0,0,0,0,0,0.479402041577000,0.006866886109550
608,"4,792.000000000000000",URRAO,M,ANTIOQUIA,05,847,"2,555.471184970000200", ,"502,181.000000000000000", ,0,0,0,0,0,0,0,0,2.780371417620000,0.208548571709000
